k,cluster,positive_coverage,positive_prevalence,background_prevalence,enrichment,fisher_p,medoid_structure_idx,medoid_site_idx,fdr_q,medoid_formula,center_type,geo_nX_available,geo_radial_cv,geo_planarity_ratio,geo_best_m,geo_best_psi,geo_psi6,geo_psi2,geo_psi3,geo_psi4,geo_psi5,geo_psi7,geo_psi8,geo_psi9,geo_psi10
32,25,0,0.0,0.004219409282700422,0.0002369438443088988,1.0,52,2,1.0,M4Me,M,6,0.23198530437701823,0.2857958573540357,6,0.7033205486981973,0.7033205486981973,0.06912448478351109,0.04267452217054493,0.015982803313603803,0.45641413711591927,0.3951656884846227,0.30396697825997926,0.2687259413910855,0.34522826013897123
32,26,0,0.0,0.07454289732770746,1.3414914377280712e-05,1.0,552,23,1.0,MMe2,X,6,0.03560605619964715,0.20471286981438577,7,0.5872251916722012,0.32409753151664145,0.18907063986054395,0.16795190194155196,0.48594154320484173,0.534696409589222,0.5872251916722012,0.4644947902897347,0.4591769858851486,0.5021006612177937
32,27,0,0.0,0.007032348804500703,0.00014217978203499463,1.0,615,26,1.0,M2Me3,M,6,0.02491710001787822,0.18052243422792755,10,0.5422272417347078,0.5300348190829174,0.23631974744535747,0.14167509596261452,0.1586156243097057,0.4719391768017823,0.15031069971362387,0.381674253268314,0.3306611029704379,0.5422272417347078
32,28,0,0.0,0.04219409282700422,2.3699438323311737e-05,1.0,720,9,1.0,MMe4,X,6,0.02132119289388327,0.2824801069974733,10,0.5660012494057801,0.16702967018793927,0.2540007623478442,0.4739492039584248,0.47159962990108706,0.18413739474945792,0.3098512153826096,0.1345576758128351,0.25081686326707187,0.5660012494057801
32,29,0,0.0,0.046413502109704644,2.15449903488443e-05,1.0,470,2,1.0,MMe2,X,6,0.06052529909232813,0.22450615951901257,5,0.647975804315302,0.33515929901643776,0.3241264301227435,0.4817537312083662,0.5683916080402918,0.647975804315302,0.6348111816246608,0.5933767766989776,0.43697281834731055,0.3753923734690862
32,30,2,0.2857142857142857,0.1350210970464135,2.1160631627286293,0.2455599093108061,689,0,0.9822396372432244,MMe3,M,6,9.064933036736789e-17,0.23095299388435483,6,0.95173864375198,0.95173864375198,0.07618802446258066,8.057619893458251e-16,0.13496220371062895,8.457737166574922e-16,1.3732700395566711e-15,0.3245687967125458,2.4443123106348935e-15,0.2783106986559293
32,31,2,0.2857142857142857,0.1111111111111111,2.571414428698713,0.18171095271747686,386,7,0.9147673779126705,MMe5,M,6,0.054358651511524615,0.30481420867876696,8,0.5603595920068667,0.05191860415387,0.3235726556602327,0.3549562607529503,0.4246926500502934,0.04545897424330508,0.16675390758236644,0.5603595920068667,0.10475397706120912,0.08791217234737664
64,0,0,0.0,0.0028129395218002813,0.00035537366466221256,1.0,667,32,1.0,M3Me7,X,6,0.007861567034978064,0.18453909253971296,6,0.996074792495202,0.996074792495202,0.0018497060559446842,0.001787416165752333,0.0049264864573276956,0.051608790775072466,0.07303212214733824,0.004883169531753301,0.005656471129603705,0.015268464858232723
64,1,1,0.14285714285714285,0.06329113924050633,2.257122994599542,0.3721746607858829,718,0,1.0,MMe4,M,6,0.020201173743511543,0.2910394741002802,4,0.8493878239617527,0.13028923692898195,0.29663495240173027,0.2564936174374825,0.8493878239617527,0.3756559453553165,0.41724046016272964,0.5231005407123629,0.40722966601780863,0.38007593199964235
64,2,0,0.0,0.20253164556962025,4.93747562121412e-06,1.0,122,19,1.0,MMe2,X,6,0.004800429776359948,0.19081116164703368,6,0.7815246810963058,0.7815246810963058,0.19133779800305614,0.2869843380576197,0.4758241593907922,0.19284994525835653,0.490866224182775,0.46671328796265954,0.032569878282655174,0.38535387655529596
