material_id,formula,n_X,h,k,l,frac_exact6,mean_inplane_count,median_inplane_count,mean_psi6_exact6,mean_psi4_exact6,psi6_minus_psi4,psi6_over_psi4,strict_exact6_all,fallback_sixfold
mp-13841,IrF4,8,3,-1,-1,1.0,6.0,6.0,0.6851138535363692,0.015039270186552506,0.6700745833498167,45.554993363239774,True,True
mp-560553,IrF6,24,0,3,-2,0.6666666666666666,5.666666666666667,6.0,0.30004195771065933,0.3896286562147625,-0.08958669850410317,0.7700715872019352,False,False
mp-23251,KBr,1,0,1,0,1.0,6.0,6.0,0.9999999999999776,9.990999434069991e-08,0.9999999000899832,10009008.674246434,True,True
mp-570891,KBr,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-23193,KCl,1,0,1,0,1.0,6.0,6.0,0.999999999999997,3.567778272707247e-08,0.9999999643222143,28028647.622241173,True,True
mp-23289,KCl,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-1544557,KF3,24,0,0,1,0.3333333333333333,4.333333333333333,5.0,0.4072466363436381,0.33177337131661755,0.07547326502702056,1.2274843961331514,False,False
mp-867934,KF3,24,3,2,0,0.16666666666666666,3.1666666666666665,3.0,0.4155573434170567,0.49950760472370237,-0.08395026130664568,0.8319339675457356,False,False
mp-1095521,KF5,10,1,-1,1,0.4,4.4,4.0,0.103016169444931,0.150292123375452,-0.047275953930521,0.6854395768138916,False,False
mp-463,KF,1,1,0,0,1.0,6.0,6.0,0.9999999999999362,1.6849571507666651e-07,0.9999998315042211,5934869.023493745,True,True
mp-8454,KF,1,1,1,-1,1.0,6.0,6.0,1.0,1.3343220141622404e-16,0.9999999999999999,1000000000000.0,True,True
mp-22898,KI,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-22901,KI,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-28571,La2Br5,10,1,1,1,0.0,1.2,1.0,0.0,0.0,0.0,0.0,False,False
mp-30282,La2I5,10,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False
mp-28572,LaBr2,4,0,0,1,1.0,6.0,6.0,0.9999999999997419,3.3865995893450207e-07,0.9999996613397829,2952814.3898261827,True,True
mp-23263,LaBr3,6,1,1,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,False,False
mp-27679,LaBr,2,1,1,1,1.0,6.0,6.0,0.9999999999999798,9.444037584412936e-08,0.9999999055596039,10588691.447505947,True,True
mp-22896,LaCl3,6,1,1,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,False,False
mp-27929,LaCl,2,1,1,1,1.0,6.0,6.0,0.9999999999999309,1.7519164088216413e-07,0.9999998248082901,5708034.898037985,True,True
mp-1101074,LaF3,6,1,0,1,1.0,6.0,6.0,0.5993458212316196,0.07951691072795772,0.5198289105036619,7.537337853605684,True,False
mp-334,LaF3,18,0,0,1,0.6666666666666666,4.666666666666667,6.0,0.8279598399229048,0.134000707375959,0.6939591325469457,6.178772158268835,False,True
mp-8354,LaF3,6,0,0,1,1.0,6.0,6.0,0.9999999999998997,2.1097067709526906e-07,0.9999997890292226,4739995.215298687,True,True
mp-905,LaF3,18,0,0,1,0.7777777777777778,5.333333333333333,6.0,0.8498638183566417,0.11553022458937268,0.734333593767269,7.356203291193276,False,True
mp-23194,LaI2,2,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False
mp-27979,LaI3,6,0,1,-3,0.3333333333333333,4.666666666666667,5.0,0.967093988880255,0.07326150990203646,0.8938324789782185,13.200574082808693,False,True
mp-22860,LaI,2,0,0,1,1.0,6.0,6.0,0.999999999999716,3.5527052668291346e-07,0.9999996447291893,2814756.4317718856,True,True
mp-23259,LiBr,1,1,1,1,1.0,6.0,6.0,0.9999999999998449,2.626024810972614e-07,0.9999997373973638,3808037.1359075997,True,True
mp-22905,LiCl,4,1,-1,1,1.0,6.0,6.0,1.0,1.601043775561197e-16,0.9999999999999999,1000000000000.0,True,True
mp-1138,LiF,1,0,0,1,1.0,6.0,6.0,0.9999999999999433,1.587226294417006e-07,0.9999998412773138,6300298.851634429,True,True
mp-22899,LiI,1,1,0,0,1.0,6.0,6.0,0.9999999999999452,1.5598323313845778e-07,0.999999844016712,6410945.457915338,True,True
mp-568273,LiI,2,0,0,1,1.0,6.0,6.0,0.9999999999996033,4.198786943308357e-07,0.999999580120909,2381640.2534863357,True,True
mp-570935,LiI,2,0,0,1,1.0,6.0,6.0,0.999999999999518,4.628138015067215e-07,0.9999995371857165,2160696.1519815326,True,True
mp-30034,MgBr2,2,0,0,1,1.0,6.0,6.0,0.9999999999999671,1.2086244987557518e-07,0.9999998791375173,8273868.360515956,True,True
mp-23210,MgCl2,6,0,0,1,1.0,6.0,6.0,1.0,1.8564021240088207e-16,0.9999999999999998,1000000000000.0,True,True
mp-570259,MgCl2,2,0,0,1,1.0,6.0,6.0,0.9999999999998216,2.8152133521116316e-07,0.9999997184784863,3552128.6486146525,True,True
mp-1249,MgF2,4,1,2,0,1.0,6.0,6.0,0.8836302349227854,0.03253271881311956,0.8510975161096658,27.16127846549491,True,True
mp-1746,MgF2,8,2,-3,1,0.75,6.25,6.0,0.36895665299579933,0.23043180103801583,0.1385248519577835,1.6011533622259462,False,False
mp-23205,MgI2,2,0,0,1,1.0,6.0,6.0,0.9999999999997459,3.360010924862578e-07,0.9999996639986534,2976180.799295006,True,True
mp-28306,MnBr2,2,0,0,1,1.0,6.0,6.0,0.9999999999993522,5.365552861091212e-07,0.9999994634440661,1863740.840670757,True,True
mp-569843,MnBr2,2,1,1,1,1.0,6.0,6.0,0.9999999999993923,5.197033579327447e-07,0.9999994802960344,1924174.598326923,True,True
mp-571084,MnBr2,8,1,0,0,1.0,6.0,6.0,0.9967977153447766,0.0007135951512398058,0.9960841201935368,1396.8672763722293,True,True
mp-28233,MnCl2,2,1,1,1,1.0,6.0,6.0,0.9999999999999584,1.3589352590639472e-07,0.9999998641064325,7358702.287913051,True,True
mp-556585,MnF2,8,0,0,1,1.0,6.0,6.0,0.3914587332538759,0.19702638211856857,0.19443235113530735,1.9868340932043296,True,False
mp-560902,MnF2,4,1,3,0,1.0,6.0,6.0,0.3657102777467547,0.14391700038698202,0.22179327735977267,2.541119372717519,True,False
mp-556560,MnF3,6,0,0,1,1.0,6.0,6.0,0.31250578269803586,0.3409498394666027,-0.028444056768566817,0.916574071971801,True,False
mp-541103,MnF4,32,1,1,2,0.6875,6.0625,6.0,0.4361716163284179,0.21582670000881998,0.2203449163195979,2.0209344641353146,False,False
mp-28013,MnI2,2,0,0,1,1.0,6.0,6.0,0.9999999999999307,1.7557235661527785e-07,0.9999998244275741,5695657.444475592,True,True
mp-29555,MoBr2,24,1,1,1,0.0,2.1666666666666665,2.5,0.0,0.0,0.0,0.0,False,False
mp-620029,MoCl2,24,1,1,1,0.0,2.6666666666666665,3.0,0.0,0.0,0.0,0.0,False,False
mp-22853,MoCl3,6,0,0,1,1.0,6.0,6.0,0.9740920090024542,0.08409959184708717,0.889992417155367,11.582600909331195,True,True
mp-569005,MoCl4,24,0,0,1,1.0,6.0,6.0,0.9654725237012677,0.05287336767817045,0.9125991560230973,18.26009134840634,True,True
mp-29147,MoCl5,40,0,1,0,1.0,6.0,6.0,0.963121759068757,0.0632818917964545,0.8998398672723025,15.219547515529834,True,True
mp-569436,MoCl5,10,0,1,-1,1.0,6.0,6.0,0.9552727887653353,0.07703904341264474,0.8782337453526905,12.399852677928532,True,True
mp-569855,MoCl5,40,0,1,0,1.0,6.0,6.0,0.962821498537916,0.06838308824854006,0.8944384102893759,14.079818902570135,True,True
mp-571256,MoCl5,30,0,1,1,1.0,6.0,6.0,0.9579015076495333,0.07417992244271873,0.8837215852068145,12.913217972008784,True,True
mp-554201,MoF3,3,1,1,1,0.0,4.0,4.0,0.0,0.0,0.0,0.0,False,False
mp-557539,MoF3,6,1,1,1,1.0,6.0,6.0,0.968439756884066,0.06255570383541353,0.9058840530486525,15.481238280558209,True,True
mp-504759,MoF5,20,1,1,-3,0.4,5.4,5.5,0.31884014237919117,0.18081587516379177,0.1380242672153994,1.7633415323204908,False,False
mp-557259,MoF6,24,1,1,-3,0.5,5.5,6.0,0.601601216904509,0.17004646884726002,0.4315547480572489,3.537863626235498,False,True
mp-558836,MoF6,6,1,1,1,1.0,6.0,6.0,0.28530745065138036,0.021639763437417206,0.26366768721396316,13.184407097448057,True,False
mp-1198690,MoI2,24,1,1,1,0.0,2.1666666666666665,2.5,0.0,0.0,0.0,0.0,False,False
mp-22916,NaBr,1,0,0,1,1.0,6.0,6.0,0.9999999999999886,7.101861578364814e-08,0.9999999289813728,14080815.135096397,True,True
mp-1078558,NaCl3,6,1,1,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,False,False
mp-22851,NaCl,1,1,-1,1,1.0,6.0,6.0,1.0,1.2853092654502116e-16,0.9999999999999999,1000000000000.0,True,True
mp-22862,NaCl,1,0,0,1,1.0,6.0,6.0,0.9999999999998856,2.254398370844493e-07,0.9999997745600485,4435773.255217922,True,True
mp-682,NaF,1,1,1,1,1.0,6.0,6.0,0.9999999999999685,1.1821665914571688e-07,0.9999998817833093,8459044.66617808,True,True
mp-23268,NaI,1,0,0,1,1.0,6.0,6.0,0.9999999999998616,2.481493214772904e-07,0.9999997518505401,4029831.6918483996,True,True
mp-723629,NaI,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-466,Nb2F5,15,1,1,1,0.6,5.6,6.0,0.999066086764263,0.01429864765703299,0.98476743910723,69.87136900830328,False,True
mp-27771,Nb3Br8,16,1,1,1,0.5,4.5,5.0,0.9999362962376095,1.4181344491630145e-05,0.9999221148931179,70510.68372450677,False,True
mp-27880,Nb3Cl7,28,0,0,1,0.5714285714285714,5.142857142857143,6.0,0.9854444036661392,0.062143437890118614,0.9233009657760205,15.857577841261241,False,True
