material_id,cif_file,formula_norm,n_atoms,d0_A,motif_score,motif_percentile_vs_formula_clean_background,reserved_formula
mp-561197,TaF5_mp-561197.cif,TaF5,24,1.8571068686578112,0.9342220425605774,76.09001406469761,False
mp-7715,AgF2_mp-7715.cif,AgF2,6,2.077862408197327,0.9341296553611755,75.9493670886076,False
mp-568208,IrCl3_mp-568208.cif,IrCl3,16,2.3608766368289293,0.9337815642356873,75.66807313642757,False
mp-1078300,ScF3_mp-1078300.cif,ScF3,8,2.020239204845687,0.9337050318717957,75.52742616033755,False
mp-540829,RuF5_mp-540829.cif,RuF5,48,1.8290876634330495,0.9336533546447754,75.38677918424754,False
mp-29412,Ta3Br7_mp-29412.cif,Ta3Br7,40,2.593469586344334,0.9335913062095642,75.10548523206751,False
mp-27770,RhCl3_mp-27770.cif,RhCl3,8,2.349187583286021,0.9333897829055786,74.82419127988749,False
mp-27397,IrBr3_mp-27397.cif,IrBr3,8,2.501217718790966,0.9331570863723755,74.68354430379746,False
mp-246,TiF3_mp-246.cif,TiF3,8,1.9598356279549212,0.9330968856811523,74.54289732770746,False
mp-554201,MoF3_mp-554201.cif,MoF3,4,2.051998475,0.9330609440803528,74.40225035161744,False
