formula,local_median_pct,local_min_pct,local_max_pct,local_mean_pct,local_top20_count,local_top10_count,n_configs,reserved_formula
ZrCl2,39.55916473317865,28.074245939675173,51.508120649651964,40.25522041763341,0,0,6,False
FeBr2,39.443155452436194,25.290023201856147,47.79582366589327,38.36040216550657,0,0,6,False
CoBr2,39.32714617169374,26.68213457076566,48.95591647331787,38.70843000773396,0,0,6,False
CeBr3,39.327146171693734,25.52204176334107,65.66125290023201,42.614075792730084,0,0,6,False
Sm5Br11,39.21113689095128,32.71461716937355,46.17169373549884,39.21113689095127,0,0,6,False
ZrI2,39.09512761020882,29.698375870069604,56.380510440835266,42.38205723124516,0,0,6,False
VI2,38.97911832946636,25.986078886310903,48.027842227378194,38.167053364269144,0,0,6,False
EuCl3,38.8631090487239,25.290023201856147,64.96519721577727,42.111368909512755,0,0,6,False
PdF2,38.74709976798144,25.986078886310903,41.067285382830626,35.65351894818252,0,0,6,False
VF2,38.63109048723898,25.290023201856147,41.53132250580047,35.46017014694509,0,0,6,False
PuBr3,38.16705336426914,29.466357308584683,67.05336426914154,42.227378190255216,0,0,6,False
Nb2F5,38.16705336426914,28.306264501160094,50.34802784222738,38.553750966744005,0,0,6,False
VCl2,38.16705336426914,27.37819025522042,48.72389791183295,38.05104408352668,0,0,6,False
CoI2,38.16705336426914,26.450116009280745,48.25986078886311,37.85769528228925,0,0,6,False
FeCl2,38.051044083526676,25.754060324825982,47.33178654292343,37.39365815931941,0,0,6,False
UCl3,38.051044083526676,24.593967517401392,64.73317865429235,41.41531322505801,0,0,6,False
PrBr3,37.93503480278422,24.825986078886313,64.50116009280742,41.41531322505801,0,0,6,False
SmBr3,37.935034802784216,30.8584686774942,67.74941995359629,42.343387470997676,0,0,6,False
Th2Br5,37.70301624129931,26.68213457076566,49.187935034802784,37.664346481051815,0,0,6,False
CoCl2,37.58700696055684,27.1461716937355,48.49187935034803,37.81902552204176,0,0,6,False
NpI3,37.23897911832947,32.01856148491879,68.90951276102089,42.343387470997676,0,0,6,False
PuI3,37.12296983758701,31.322505800464036,68.67749419953596,41.956689868522815,0,0,6,False
SnI2,37.00696055684455,31.322505800464036,39.675174013921115,36.23356535189482,0,0,6,False
FeI2,37.00696055684455,24.593967517401392,45.93967517401392,36.11755607115236,0,0,6,False
LaBr3,37.00696055684455,23.897911832946637,64.03712296983758,40.37122969837587,0,0,6,False
ZrBr2,36.890951276102086,21.57772621809745,45.011600928074245,35.34416086620263,0,0,6,False
NiF2,36.774941995359626,22.73781902552204,40.835266821345705,33.48801237432328,0,0,6,False
