config,group,formula,material_id,matched_site,matched_center,soap_similarity,nX_available,six_X_distances_scaled,radial_cv,planarity_ratio,best_m,best_psi,psi6,psi2,psi3,psi4,psi5,psi7,psi8,psi9,psi10
medium,blind,AlBr3,mp-23288,4,X,0.9967911243438721,6,"[1.6942901793582306, 1.7151596808551872, 1.739052492813741, 1.7911965377618149, 1.810445529435027, 1.8278998216400864]",0.028210230254350443,0.1675420084347878,2,0.4554229742907943,0.41090883805920353,0.4554229742907943,0.3657934307609262,0.33337677029884794,0.16554976266674454,0.1382577536677644,0.3942125265438037,0.19581360520898008,0.24460979691888504
medium,blind,ZnCl2,mp-22909,4,X,0.9612189531326294,6,"[1.6092275310833475, 1.6092276191097727, 1.6092276356427955, 1.609227661681357, 1.6732370748467567, 1.6732370834046595]",0.018505468270525707,0.17699225723866122,8,0.8989827197343573,0.5661799718277145,0.2520832356667527,4.051024478422659e-07,0.3302617144254836,6.648577809780614e-07,8.934470278083932e-07,0.8989827197343573,1.1821066302271111e-06,0.20664088094017893
medium,blind,SnCl2,mp-29179,16,X,0.9389078617095947,6,"[1.3417326668947447, 1.3440049948579087, 1.3483905355824837, 1.348390535582484, 1.4016670454087443, 1.4056390463214632]",0.020130086812446667,0.2392969135665146,10,0.6853326874822014,0.5700067570983205,0.16225989008771619,0.18278465785791714,0.35143347198559227,0.2674933018261912,0.29510770055349744,0.4496570947551128,0.339461940700038,0.6853326874822014
wide,known,AlCl3,mp-25470,0,M,0.9882609248161316,6,"[1.0, 1.0, 1.0000000679748176, 1.0000000679748178, 1.0000000679748178, 1.0000000679748178]",3.2043634920590143e-08,0.2591140661803659,6,0.9999999999999662,0.9999999999999662,6.116533951550096e-08,1.3650713096900981e-16,1.2233069029976562e-07,2.616820764472958e-16,4.571017389426677e-16,2.4466133567250614e-07,3.3224241910619107e-16,3.058267537362861e-07
wide,known,FeCl3,mp-23204,0,M,0.9917001128196716,6,"[0.9999763777175517, 1.0000236222824477, 1.000055652521861, 1.000316076544798, 1.000363377016229, 1.0003954284774084]",0.00017293469592126373,0.3203500701496399,9,0.8399540475480047,0.7870406913227136,2.2158919686484924e-05,0.3263121754665892,4.423004916726694e-05,0.0001333523996242099,0.0001867795675793486,0.00022785731132898872,0.8399540475480047,0.00028466927869532217
wide,known,GaF3,mp-588,0,M,0.9910876154899597,6,"[0.9999999759543786, 0.9999999759543787, 1.0000000380115295, 1.000000038011529, 1.0000001320638436, 1.0000001320638434]",6.417605054067517e-08,0.33232984175199204,4,0.9690459380949266,0.2670295065382601,0.3258245545982417,3.686839508719226e-16,0.9690459380949266,7.718105138246837e-16,6.206335383118183e-16,0.8790658225254987,1.392827280663205e-15,0.15727317889178868
wide,known,InBr3,mp-570219,0,M,0.9913623929023743,6,"[0.9999989544305169, 1.0000010455694825, 1.0009297859615667, 1.0009307039789932, 1.0012143569504524, 1.0012154931023973]",0.0005184362682951658,0.32945170117509753,6,0.9536198567318949,0.9536198567318949,0.024032546700023825,0.14377568633664703,0.04596804936183256,0.015801837370784815,0.024632992424398478,0.09178342549995004,0.4151187891276345,0.10019780138101232
wide,known,TaCl5,mp-29831,0,M,0.9981313943862915,6,"[0.9894697012337529, 0.9895221316806533, 1.0105469396049567, 1.010719686449208, 1.1173461195154406, 1.117542539905665]",0.0538901942405282,0.311375091873848,8,0.77500406430826,0.31530465161122373,0.33322407428642303,0.46857310179405104,0.2879777435971336,0.10045698420553098,0.015281070248244275,0.77500406430826,0.6648942557414871,0.29824667320588255
wide,known,ZrCl4,mp-569175,0,M,1.0000001192092896,6,"[0.9999999999999998, 0.9999999999999998, 1.0759228599603747, 1.0759228599603747, 1.1545221867555961, 1.1545221867555964]",0.05858626775485908,0.32195577232524425,4,0.7613757644761275,0.2538937390664707,0.1599153697379278,0.2228904741220609,0.7613757644761275,0.06302554473279776,0.1687292233651784,0.3091253275735433,0.08499467202373923,0.04000902735429107
wide,known,GaCl3,mp-30952,0,M,0.9897251129150391,6,"[0.9951405008201282, 1.0048594991798723, 1.0906876072662193, 1.0909165466527444, 1.7833457614906072, 1.7869738818716465]",0.2714447473405899,0.1426225260323646,5,0.860402825967718,0.599127688589013,0.10839915470735229,0.2532822591859869,0.03011200251221317,0.860402825967718,0.019884858204354098,0.3388170042127878,0.08911352867539678,0.5095347467816146
wide,blind,InI3,mp-567789,0,M,0.9885772466659546,6,"[0.9998855108435293, 1.0001144891564706, 1.0730825913126123, 1.0743957148691252, 1.8270065968812803, 1.8288653954470906]",0.2876656600303861,0.14296076712893646,3,0.6500842329834102,0.04951441792353633,0.5144307431892178,0.6500842329834102,0.09508771830927609,0.288154128686336,0.3419044929012767,0.2809376323911948,0.13188066891899866,0.045730683500191945
