formula,median_mean_percentile,min_mean_percentile,median_nearest_percentile,min_nearest_percentile,settings
CaI2,35.30239099859353,33.755274261603375,45.077355836849506,35.16174402250351,6
PbI2,34.10689170182841,33.0520393811533,44.51476793248945,34.73980309423347,6
HgBr2,33.895921237693386,25.457102672292546,19.831223628691983,19.268635724331926,6
WBr2,33.333333333333336,25.035161744022506,23.277074542897328,21.09704641350211,6
CoF2,33.26300984528832,30.66104078762307,40.57665260196906,32.63009845288326,6
CaCl2,33.26300984528832,29.957805907172997,46.55414908579466,24.050632911392405,6
ZnF2,33.05203938115331,31.78621659634318,46.48382559774964,32.34880450070324,6
MoBr2,33.05203938115331,24.894514767932492,23.066104078762308,20.675105485232066,6
TlBr2,32.9817158931083,30.66104078762307,22.151898734177216,22.081575246132207,6
MnF2,32.419127988748244,30.66104078762307,44.65541490857946,32.48945147679325,6
VCl4,31.92686357243319,26.582278481012654,64.20534458509142,27.285513361462726,6
InI2,31.71589310829817,29.11392405063291,21.518987341772153,21.37834036568214,6
PrI2,31.575246132208157,29.39521800281294,39.24050632911393,32.48945147679325,6
MgF2,31.012658227848103,29.254571026722925,43.459915611814345,33.895921237693386,6
SnF2,30.87201125175809,26.300984528832632,24.47257383966245,22.925457102672294,6
NiF2,30.731364275668074,29.39521800281294,43.10829817158931,33.61462728551336,6
VF2,30.731364275668074,29.39521800281294,40.9985935302391,33.0520393811533,6
PdF2,30.59071729957806,28.691983122362867,40.365682137834035,32.77074542897328,6
GaI2,30.098452883263008,21.37834036568214,19.901547116736992,18.70604781997187,6
CaBr2,29.676511954992968,27.70745428973277,43.319268635724335,34.88045007032349,6
YbBr2,29.043600562587905,27.70745428973277,38.39662447257384,35.16174402250351,6
TlCl2,28.9732770745429,20.81575246132208,21.870604781997187,20.393811533052038,6
InBr2,28.69198312236287,23.347398030942333,20.464135021097043,19.971870604781998,6
SrF2,28.059071729957807,26.019690576652604,33.33333333333333,31.08298171589311,6
ZnI2,27.988748241912795,26.72292545710267,20.11251758087201,18.846694796061886,6
SrBr2,27.566807313642755,25.59774964838256,34.31786216596343,30.801687763713083,6
SnI2,27.42616033755274,26.300984528832632,36.28691983122363,31.926863572433195,6
SrI2,27.285513361462726,25.457102672292546,34.036568213783404,30.520393811533054,6
EuI2,27.074542897327703,25.31645569620253,35.09142053445851,30.09845288326301,6
MoI2,27.074542897327703,20.956399437412095,21.518987341772153,18.9873417721519,6
PbBr2,26.090014064697613,24.753867791842477,31.0126582278481,30.520393811533054,6
SmI2,25.527426160337555,23.769338959212376,32.419127988748244,31.504922644163152,6
ThI2,25.38677918424754,23.769338959212376,32.48945147679325,28.129395218002813,6
DyBr2,25.386779184247537,23.90998593530239,32.137834036568215,31.364275668073137,6
SmCl2,25.246132208157526,24.613220815752463,31.92686357243319,29.676511954992968,6
PtCl4,25.246132208157526,22.644163150492265,62.58790436005626,27.70745428973277,6
NdCl2,25.105485232067515,24.050632911392405,31.645569620253163,29.535864978902953,6
TmCl2,24.964838255977497,22.78481012658228,31.434599156118146,30.37974683544304,6
PbCl2,24.68354430379747,22.644163150492265,29.88748241912799,29.39521800281294,6
PbF2,23.839662447257382,21.659634317862167,28.340365682137836,27.566807313642755,6
HgCl2,23.628691983122362,19.69057665260197,18.776371308016877,18.424753867791843,6
HgF2,23.347398030942337,21.09704641350211,28.41068917018284,27.285513361462726,6
BaCl2,23.136427566807313,21.37834036568214,28.270042194092824,26.863572433192683,6
EuF2,23.136427566807313,20.81575246132208,28.059071729957804,27.004219409282697,6
